date,dengue,sintomas de dengue,mosquito,dengue sintomas
2004-01-01,5,0,0,0
2004-02-01,7,0,0,0
2004-03-01,5,0,3,0
2004-04-01,6,0,4,0
2004-05-01,11,0,4,0
2004-06-01,10,0,4,0
2004-07-01,7,0,5,0
2004-08-01,9,0,2,0
2004-09-01,14,0,4,0
2004-10-01,11,0,3,0
2004-11-01,11,0,3,0
2004-12-01,5,0,0,0
2005-01-01,5,0,0,0
2005-02-01,3,0,2,0
2005-03-01,6,0,2,0
2005-04-01,5,1,2,0
2005-05-01,8,0,3,0
2005-06-01,8,0,3,0
2005-07-01,8,0,3,2
2005-08-01,14,0,3,0
2005-09-01,18,0,3,1
2005-10-01,17,0,3,1
2005-11-01,12,0,2,0
2005-12-01,5,0,2,0
2006-01-01,4,0,2,0
2006-02-01,4,0,3,0
2006-03-01,7,0,2,0
2006-04-01,8,0,3,0
2006-05-01,8,0,4,0
2006-06-01,8,0,4,0
2006-07-01,7,0,3,0
2006-08-01,8,0,3,0
2006-09-01,14,0,3,1
2006-10-01,16,0,3,1
2006-11-01,14,0,3,2
2006-12-01,6,0,3,0
2007-01-01,6,0,4,0
2007-02-01,6,0,4,0
2007-03-01,8,0,3,1
2007-04-01,7,0,4,1
2007-05-01,9,0,3,0
2007-06-01,9,0,4,0
2007-07-01,8,0,3,1
2007-08-01,11,0,3,1
2007-09-01,18,1,3,2
2007-10-01,32,1,5,4
2007-11-01,21,0,3,3
2007-12-01,9,0,2,1
2008-01-01,5,0,3,0
2008-02-01,7,0,3,0
2008-03-01,6,0,3,0
2008-04-01,9,0,3,1
2008-05-01,10,0,4,0
2008-06-01,11,0,4,1
2008-07-01,9,0,3,1
2008-08-01,9,0,3,1
2008-09-01,14,1,4,2
2008-10-01,16,1,3,2
2008-11-01,10,0,3,1
2008-12-01,7,0,3,1
2009-01-01,5,0,3,0
2009-02-01,7,0,3,0
2009-03-01,8,0,3,1
2009-04-01,7,0,3,1
2009-05-01,9,0,3,1
2009-06-01,8,0,3,1
2009-07-01,6,0,3,1
2009-08-01,13,1,3,2
2009-09-01,37,3,5,7
2009-10-01,44,4,6,9
2009-11-01,32,2,4,6
2009-12-01,13,1,3,2
2010-01-01,7,0,2,1
2010-02-01,8,0,3,1
2010-03-01,7,0,3,1
2010-04-01,8,0,3,1
2010-05-01,10,1,3,1
2010-06-01,10,0,3,1
2010-07-01,13,1,4,3
2010-08-01,13,1,4,3
2010-09-01,13,1,4,2
2010-10-01,14,1,3,3
2010-11-01,12,1,3,3
2010-12-01,6,0,3,1
2011-01-01,4,0,2,0
2011-02-01,4,0,2,0
2011-03-01,7,0,3,1
2011-04-01,6,0,3,1
2011-05-01,6,0,3,1
2011-06-01,6,0,3,1
2011-07-01,5,0,3,1
2011-08-01,6,0,4,1
2011-09-01,10,1,3,1
2011-10-01,12,1,4,2
2011-11-01,9,1,3,1
2011-12-01,5,0,2,1
2012-01-01,5,0,2,1
2012-02-01,4,0,2,1
2012-03-01,6,0,2,1
2012-04-01,5,0,2,1
2012-05-01,5,0,3,1
2012-06-01,6,0,3,1
