month,cases,weeks,defn
2003-01-01,40.0,4,confirmed
2003-02-01,111.0,4,confirmed
2003-03-01,100.0,4,confirmed
2003-04-01,65.0,5,confirmed
2003-05-01,56.0,4,confirmed
2003-06-01,85.0,4,confirmed
2003-07-01,320.0,5,confirmed
2003-08-01,427.0,4,confirmed
2003-09-01,909.0,4,confirmed
2003-10-01,1555.0,5,confirmed
2003-11-01,1862.0,4,confirmed
2003-12-01,704.0,5,confirmed
2004-01-01,31.0,4,confirmed
2004-02-01,46.0,4,confirmed
2004-03-01,55.0,5,confirmed
2004-04-01,58.0,4,confirmed
2004-05-01,78.0,4,confirmed
2004-06-01,173.0,5,confirmed
2004-07-01,256.0,4,confirmed
2004-08-01,1973.0,4,confirmed
2004-09-01,1784.0,5,confirmed
2004-10-01,1242.0,4,confirmed
2004-11-01,1470.0,4,confirmed
2004-12-01,817.0,5,confirmed
2005-01-01,62.0,4,confirmed
2005-02-01,119.0,4,confirmed
2005-03-01,122.0,5,confirmed
2005-04-01,102.0,4,confirmed
2005-05-01,222.0,4,confirmed
2005-06-01,686.0,5,confirmed
2005-07-01,994.0,4,confirmed
2005-08-01,3338.0,5,confirmed
2005-09-01,4507.0,4,confirmed
2005-10-01,5197.0,4,confirmed
2005-11-01,3545.0,5,confirmed
2005-12-01,2018.0,4,confirmed
2006-01-01,71.0,4,confirmed
2006-02-01,319.0,4,confirmed
2006-03-01,297.0,5,confirmed
2006-04-01,239.0,4,confirmed
2006-05-01,416.0,5,confirmed
2006-06-01,870.0,4,confirmed
2006-07-01,1445.0,4,confirmed
2006-08-01,2614.0,5,confirmed
2006-09-01,4191.0,4,confirmed
2006-10-01,6211.0,4,confirmed
2006-11-01,7869.0,5,confirmed
2006-12-01,2792.0,4,confirmed
2007-01-01,941.0,5,confirmed
2007-02-01,1381.0,4,confirmed
2007-03-01,999.0,4,confirmed
2007-04-01,969.0,4,confirmed
2007-05-01,1656.0,5,confirmed
2007-06-01,2051.0,4,confirmed
2007-07-01,2946.0,4,confirmed
2007-08-01,4815.0,5,confirmed
2007-09-01,6843.0,4,confirmed
2007-10-01,14189.0,5,confirmed
2007-11-01,9954.0,4,confirmed
2007-12-01,2376.0,4,confirmed
2015-01-01,3718.0,4,total
2015-02-01,4430.0,4,total
2015-03-01,5016.0,4,total
2015-04-01,8368.0,5,total
2015-05-01,8965.0,4,total
2015-06-01,14847.0,4,total
2015-07-01,29734.0,5,total
2015-08-01,31956.0,4,total
2015-09-01,41571.0,5,total
2015-10-01,34165.0,4,total
2015-11-01,24577.0,4,total
2015-12-01,12246.0,5,total
2016-01-01,5109.0,4,total
2016-02-01,7618.0,4,total
2016-03-01,6860.0,5,total
2016-04-01,4301.0,4,total
2016-05-01,4311.0,4,total
2016-06-01,7838.0,5,total
2016-07-01,8629.0,4,total
2016-08-01,23143.0,5,total
2016-09-01,21066.0,4,total
2016-10-01,21428.0,4,total
2016-11-01,16462.0,5,total
2016-12-01,3304.0,4,total
2017-01-01,1974.0,4,total
2017-02-01,2110.0,4,total
2017-03-01,3077.0,5,total
2017-04-01,2244.0,4,total
2017-05-01,3600.0,5,total
2017-06-01,5220.0,4,total
2017-07-01,5317.0,4,total
2017-08-01,10089.0,5,total
2017-09-01,15600.0,4,total
2017-10-01,19302.0,4,total
2017-11-01,18364.0,5,total
2017-12-01,2996.0,4,total
2018-01-01,1295.0,5,total
2018-02-01,1493.0,4,total
2018-03-01,1670.0,4,total
2018-04-01,2035.0,4,total
2018-05-01,3139.0,5,total
2018-06-01,4372.0,4,total
2018-07-01,4833.0,4,total
2018-08-01,8147.0,5,total
2018-09-01,12941.0,4,total
2018-10-01,22479.0,5,total
2018-11-01,11614.0,4,total
2018-12-01,4603.0,4,total
2019-01-01,3201.0,5,total
2019-02-01,3137.0,4,total
2019-03-01,3247.0,4,total
2019-04-01,3315.0,4,total
2019-05-01,5935.0,5,total
2019-06-01,8424.0,4,total
2019-07-01,16951.0,5,total
2019-08-01,30067.0,4,total
2019-09-01,55202.0,4,total
2019-10-01,84343.0,5,total
2019-11-01,37623.0,4,total
2019-12-01,17013.0,4,total
2021-01-01,1402.0,4,total
2021-02-01,1075.0,4,total
2021-03-01,1444.0,5,total
2021-04-01,1489.0,4,total
2021-05-01,2004.0,4,total
2021-06-01,3874.0,5,total
2021-07-01,4000.0,4,total
2021-08-01,3396.0,4,total
2021-09-01,4346.0,5,total
2021-10-01,5654.0,4,total
2021-11-01,4856.0,4,total
2021-12-01,3202.0,5,total
2022-01-01,1065.0,4,total
2022-02-01,895.0,4,total
2022-03-01,1502.0,5,total
2022-04-01,1630.0,4,total
2022-05-01,2634.0,4,total
2022-06-01,5116.0,5,total
2022-07-01,4441.0,4,total
2022-08-01,7039.0,5,total
2022-09-01,9556.0,4,total
2022-10-01,12061.0,4,total
2022-11-01,10362.0,5,total
2022-12-01,3617.0,4,total
2023-01-01,3331.0,4,total
2023-02-01,3365.0,4,total
2023-03-01,4891.0,5,total
2023-04-01,3753.0,4,total
2023-05-01,7060.0,5,total
2023-06-01,10638.0,4,total
2023-07-01,17077.0,4,total
2023-08-01,43587.0,5,total
2023-09-01,66594.0,4,total
2023-10-01,62063.0,4,total
2023-11-01,36247.0,5,total
2023-12-01,19357.0,4,total
