COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,INF_A,INF_B,INF_ALL,INF_NEGATIVE
MEX,Mexico,1997-02-24,1997,9,NOTDEFINED,,,,,
MEX,Mexico,1997-03-24,1997,13,NOTDEFINED,,,,,
MEX,Mexico,1999-12-27,1999,52,NOTDEFINED,463.0,96.0,3.0,99.0,
MEX,Mexico,2000-01-03,2000,1,NOTDEFINED,172.0,34.0,1.0,35.0,
MEX,Mexico,2000-01-10,2000,2,NOTDEFINED,180.0,41.0,0.0,41.0,
MEX,Mexico,2000-01-17,2000,3,NOTDEFINED,217.0,36.0,0.0,36.0,
MEX,Mexico,2000-01-24,2000,4,NOTDEFINED,191.0,29.0,2.0,31.0,
MEX,Mexico,2000-01-31,2000,5,NOTDEFINED,319.0,40.0,1.0,41.0,
MEX,Mexico,2000-02-07,2000,6,NOTDEFINED,400.0,43.0,6.0,49.0,
MEX,Mexico,2000-02-14,2000,7,NOTDEFINED,207.0,28.0,2.0,30.0,
MEX,Mexico,2000-02-21,2000,8,NOTDEFINED,212.0,28.0,3.0,31.0,
MEX,Mexico,2000-02-28,2000,9,NOTDEFINED,193.0,33.0,2.0,35.0,
MEX,Mexico,2000-03-06,2000,10,NOTDEFINED,168.0,20.0,2.0,22.0,
MEX,Mexico,2000-03-13,2000,11,NOTDEFINED,99.0,9.0,0.0,9.0,
MEX,Mexico,2000-03-20,2000,12,NOTDEFINED,64.0,7.0,0.0,7.0,
MEX,Mexico,2000-03-27,2000,13,NOTDEFINED,41.0,5.0,0.0,5.0,
MEX,Mexico,2000-04-03,2000,14,NOTDEFINED,36.0,6.0,0.0,6.0,
MEX,Mexico,2000-04-10,2000,15,NOTDEFINED,20.0,7.0,0.0,7.0,
MEX,Mexico,2000-04-17,2000,16,NOTDEFINED,30.0,2.0,0.0,2.0,
MEX,Mexico,2000-04-24,2000,17,NOTDEFINED,24.0,3.0,0.0,3.0,
MEX,Mexico,2000-05-01,2000,18,NOTDEFINED,18.0,5.0,0.0,5.0,
MEX,Mexico,2000-05-08,2000,19,NOTDEFINED,28.0,5.0,0.0,5.0,
MEX,Mexico,2000-05-15,2000,20,NOTDEFINED,40.0,8.0,0.0,8.0,
MEX,Mexico,2000-05-22,2000,21,NOTDEFINED,20.0,4.0,0.0,4.0,
MEX,Mexico,2000-05-29,2000,22,NOTDEFINED,20.0,2.0,0.0,2.0,
MEX,Mexico,2000-06-05,2000,23,NOTDEFINED,30.0,1.0,0.0,1.0,
MEX,Mexico,2000-06-12,2000,24,NOTDEFINED,32.0,0.0,0.0,,
MEX,Mexico,2000-06-19,2000,25,NOTDEFINED,24.0,2.0,0.0,2.0,
MEX,Mexico,2000-06-26,2000,26,NOTDEFINED,29.0,3.0,0.0,3.0,
MEX,Mexico,2000-07-03,2000,27,NOTDEFINED,25.0,2.0,0.0,2.0,
MEX,Mexico,2000-07-10,2000,28,NOTDEFINED,17.0,3.0,0.0,3.0,
MEX,Mexico,2000-07-17,2000,29,NOTDEFINED,13.0,1.0,0.0,1.0,
MEX,Mexico,2000-07-24,2000,30,NOTDEFINED,11.0,0.0,0.0,,
MEX,Mexico,2000-07-31,2000,31,NOTDEFINED,3.0,0.0,0.0,,
MEX,Mexico,2000-08-07,2000,32,NOTDEFINED,15.0,0.0,0.0,,
MEX,Mexico,2000-08-14,2000,33,NOTDEFINED,13.0,0.0,0.0,,
MEX,Mexico,2000-08-21,2000,34,NOTDEFINED,17.0,0.0,0.0,,
MEX,Mexico,2000-08-28,2000,35,NOTDEFINED,13.0,1.0,0.0,1.0,
MEX,Mexico,2000-09-04,2000,36,NOTDEFINED,18.0,0.0,0.0,,
MEX,Mexico,2000-09-11,2000,37,NOTDEFINED,19.0,0.0,0.0,,
MEX,Mexico,2000-09-18,2000,38,NOTDEFINED,24.0,0.0,0.0,,
